Agent Name,Latitude,longitude
SOWAN TELECOM,22.69637,89.75962
Mithila Telecom Center,22.57244,89.95683
Sefat Traders,22.47071,89.60319
Bhai Bhai Telecom,22.71634,89.83283
R M Traders,22.31333,89.84862
Gat I C T Center,22.88987,89.77417
AMIT TELECOM,22.47071,89.60319
Bismillah Telecom,22.69637,89.75962
ANIK TELECOM,22.8576,89.75573
MA PHARMACY AND ABDULLAH LIBRARY,22.79184,89.87692
Bismillah Telecom,22.57244,89.95683
ASHIM LAUNDRY,22.6579,89.77002
Najrul Store And Confectionery,22.35144,89.81963
Arzu Machineries And Cycle Store,22.79148,89.87604
VHAI VHAI STORE,22.31333,89.84862
Khadiza Telecom And Servicing,22.72263,89.74719
Labiba Store,22.58227,89.66661
S M K K ENTERPRISE LIMITED,22.66038,89.76628
M/S Sadia Bostro Biponi,22.26376,89.8299
Shadin Enterprise,22.6579,89.77002
NAHID TELECOM,22.6579,89.77002
M/S BISMILLAH RECHARGE ZONE,22.71556,89.75955
BAGERHAT DRUGS,22.67374,89.73342
Modina Telecom-3,22.79148,89.87604
M/S Hayder Traders And Telecom,22.6649,89.75859
Ayan Telecom,22.72498,89.66153
Howlader Enterprise,22.72263,89.74719
Khondoker Store,22.26376,89.8299
SHOFIK TELECOM,22.69637,89.75962
GOOD LUCK TELECOM,22.69637,89.75962
PANTCH GAOW DIGITAL STUDIO,22.57244,89.95683
Rezaul Telecom,22.58227,89.66661
Mollik Store,22.57244,89.95683
Kazi Pharmacy,22.6579,89.77002
Jakir Store,22.47071,89.60319
J H B Telecom,22.69637,89.75962
Oni Medicine Point,22.72263,89.74719
Pollob Electronics,22.53288,89.59026
GUN GUN ENTERPRISE,22.69637,89.75962
Bristy Store,22.47071,89.60319
Mishuk Telecom,22.78719,89.67835
Student Store,22.47071,89.60319
Adrita Export Import,19.62448,84.94024
M/S Akhi Store,22.69637,89.75962
BHAI BHAI STORE,22.88987,89.77417
JEHAD TELECOM,22.58227,89.66661
BABU STORE,22.88987,89.77417
MAJUMDER STORE,22.47071,89.60319
Star Electronics And Computer,22.72263,89.74719
Vai Vai Varities Store,22.79148,89.87604
Maa Enterprise,22.6579,89.77002
Fahad Store,22.88987,89.77417
Salim Store,22.6579,89.77002
M/S Nusrat Enterprise,22.79148,89.87604
N Hasan Mobile And Tv Shop,22.85078,89.86767
Vai Vai Medical Hall,22.57244,89.95683
Rasel Varieties Dokan,22.29992,89.84794
MAHI TELECOM,22.47071,89.60319
Siddik Library,22.79184,89.87692
Bhai Bhai Store,24.36126,88.20717
Bismillah Electric,22.8576,89.75573
Ms Naima Medical Hall,22.70262,89.84244
MOLLA STORE,22.31333,89.84862
Varieties Store And Confectionary,22.69637,89.75962
M/S Sadia Enterprise,22.69637,89.75962
Maa Electronics House,22.29992,89.84794
Shikha Anerban Telecom,22.58227,89.66661
SHADIN TELECOM,22.58227,89.66661
Rony Electronics And Studio,22.79184,89.87692
FARID STORE,22.31333,89.84862
GANGNI UNION DIGITAL CENTER,22.8576,89.75573
Qudrati Pharmacy,22.58227,89.66661
Vai Vai Traders,22.77999,89.7844
S K Telecom,22.58227,89.66661
Nayem Store,22.57244,89.95683
M/S Ma Fish Feed,22.53418,89.86831
Mayer Doa Photostat,22.45366,89.84988
Ms Tasmiya Telecom,22.6579,89.77002
ANIS TELECOM,22.31333,89.84862
Tamim Store,22.57244,89.95683
Mizan Store,22.70262,89.84244
Sotota Photocopy And Varietis Store,22.77442,89.71553
Aminul Store,22.57244,89.95683
VAI VAI TELECOM,22.79184,89.87692
Eva Telecom,22.31333,89.84862
Khan Enterprise,22.79148,89.87604
Maa Mobile Telecom Store,22.53288,89.59026
M/S Khan Traders,22.53418,89.86831
TARIK COMPUTER,22.69637,89.75962
Sheik Emadul Haque Store,22.88987,89.77417
UNIVERSAL TEELCOM,22.63694,89.82043
TUSHAR TELECOM,22.79148,89.87604
M/S Joti Telecom,22.79184,89.87692
Photostate-1 And Digital Studio,22.47071,89.60319
M/S Zakir Store,22.57244,89.95683
E D C COMPUTER TRAINING CENTER,22.6579,89.77002
M/S BENA PHARMACY,22.58227,89.66661
Osman Store,22.79184,89.87692
MARUF STORE,22.6579,89.77002
M/S Faruk Video Games,22.47071,89.60319
Saddam Store,22.58227,89.66661
BONDHU TELECOM,22.6579,89.77002
Nur Tea Store,22.7809,89.69756
Hridoy Telecom,22.47071,89.60319
SIKDER ENTERPRISE,22.6579,89.77002
SHEIKH ELECTRIC,22.88987,89.77417
Diganta Telecom,22.57244,89.95683
Moyen Photostat And Computer,22.6579,89.77002
HOWLADER TELECOM,22.57244,89.95683
Emon Pharmacty,22.57244,89.95683
N H Enterprise,22.47191,89.60435
SARDAR TELECOM,22.88987,89.77417
New Janani Store And Corner,22.57244,89.95683
Shoukot Telecom,22.88987,89.77417
BISMILLA TELECOM,22.79184,89.87692
ANIMESH STORE,22.57244,89.95683
BISMILLAH MEDICINE CORNER,22.57244,89.95683
Suvo Fashion House,22.61471,89.8519
M/S Lamia Enterprise,22.26376,89.8299
KHOKON STORE,22.57244,89.95683
S A Salam Cosmetics,22.704,89.79961
Alvi Store,22.6579,89.77002
Protul Tailors,22.58227,89.66661
Bismillah Telecom,22.57244,89.95683
Sujon Telecom,22.68844,89.80094
Molla Computer Servicing Telecom,22.57244,89.95683
FARZANA TELECOM,22.6493,89.8806
Setu Color Studio And Photostat,22.57244,89.95683
Ma Telecom,22.88987,89.77417
M/S Shohag Telecom,22.65517,89.778
NIBASH TELECOM,22.57244,89.95683
One To Ninety Nine And Plus,22.69637,89.75962
K M Ahnaf Enterprise,22.65836,89.77065
Tanisa Enterprise,22.69637,89.75962
PRIYA DIGITAL STUDIO MOBILE POINT,22.6579,89.77002
S S Varieties Store,22.77442,89.71553
Shourav Telecom,22.57244,89.95683
EVA POLLI PHONE,22.57244,89.95683
Shamim Optical,22.63694,89.82043
KHANDAKAR MOBILE,22.79184,89.87692
Ma Electric And Electronics,22.6579,89.77002
B K Traders,22.6579,89.77002
Gazi Store,22.72498,89.66153
Babu Store,22.77442,89.71553
M/S Tanvir And Traders,22.6579,89.77002
Udoy Traders,22.68955,89.76429
Monishongkor Store,22.31333,89.84862
Sohel Store,22.88987,89.77417
Tahsen Telecom,22.26376,89.8299
Enginner Telecom,22.7809,89.69756
MILON STORE,22.69637,89.75962
AL MADINA STORE,22.79184,89.87692
Kabir Store,22.57244,89.95683
Sanjida Electric,22.57244,89.95683
AZMOL STORE,22.47071,89.60319
Arabian Panjabi Tailors,22.61471,89.8519
HASAN TELECOM,22.58227,89.66661
SOHEL TELECOM,22.57244,89.95683
Kulsum Enterprise,22.91491,89.80336
H A Medical Hall,22.72263,89.74719
NURUZZAMAN STORE,22.6579,89.77002
Abdullah Telecom,22.79184,89.87692
M/S SYED TRADERS,22.58227,89.66661
SEJUTI TELECOM,22.69637,89.75962
Arpita Telecom,22.72498,89.66153
SPORTS CORNER,22.57244,89.95683
Satara Store,22.6579,89.77002
S M Pharmacy,22.6579,89.77002
KHAN PHARMACY,22.6579,89.77002
Any Telecom,22.57244,89.95683
HABIB PHARMACY AND TELECOM,22.69637,89.75962
VAI VAI ELECTRONICS,22.88987,89.77417
Nantur Mudi Dokan,22.57244,89.95683
Maa Electronics,22.69637,89.75962
Howlader Enterprise,22.79184,89.87692
Md Dabir Store,22.57244,89.95683
Khondoker Telecom,22.93317,89.79947
Doli Pharmacy,22.79184,89.87692
Mahadi Traders,22.58227,89.66661
Parsha Telecom,22.77146,89.71278
Gope Nath Telecom,22.69637,89.75962
M/S Rubel Telecom,22.57244,89.95683
Ali Azim Varieties Store,22.53495,89.86802
Satota Traders,22.57244,89.95683
Saiful Telecom,22.29992,89.84794
SHATATA TELECOM,22.88987,89.77417
M/S Nafiz Enterprise,22.79184,89.87692
Farhad Store,22.88987,89.77417
Oysharjo Enterprise,22.79184,89.87692
Mamun rashid tutul store,53.72143,104.00047
M/S Rupali Enterprise,22.40899,89.74194
Afrin Telecom,22.74887,89.68112
JAKIR STORE,22.68844,89.80094
Bondhu Telecom And Varieties,22.77442,89.71553
P N Varieties Store,22.79184,89.87692
MAA TELECOM,21.63736,69.61056
Nayeem Telecom,22.79184,89.87692
Mahadi Telecom,22.6579,89.77002
Tasfia Tahia Telecom,22.6579,89.77002
Ma Medical And Dental Care,22.31333,89.84862
Maa Telecom,22.47071,89.60319
Ma Babar Ashirbad Cosmetics,22.6579,89.77002
M/S ALAM TELECOM,22.79148,89.87604
Ma Babar Doa Telecom,22.77146,89.71278
Famas Telecom And Electronics,22.57244,89.95683
Mobile Park,22.74137,89.65608
M/S Sahnaz Store,22.79148,89.87604
Babul Store,22.57244,89.95683
Hazi Pharmacy,22.57244,89.95683
Vai Vai Store,22.6579,89.77002
M/S Babul Enterprise,22.79184,89.87692
Seba Pharmacy,22.72263,89.74719
Abu Talha Telecom,22.77146,89.71278
Ashis Mobile Net,22.45366,89.84988
BHAI BHAI VARIETIES STORE,22.6493,89.8806
Muskan Cosmetics,22.4645,89.91817
Majid Telecom,22.57244,89.95683
M/S Amit Enterprise,22.77442,89.71553
M/S Joya Medical Hall,22.6493,89.8806
Medicin Store,22.6579,89.77002
PUTUL MEDICINE CORNER,19.09072,74.73886
Varieties,22.88987,89.77417
Ashis Cloth Store,22.70262,89.84244
Surma Digital Studio And Telecom,22.79184,89.87692
Cafe Doratana,22.6579,89.77002
Musa Telecom,22.58227,89.66661
TAMJED STORE,22.47071,89.60319
R S Telecom,22.68955,89.76429
Cycle Bazar,22.45366,89.84988
Araf Telecom,22.6579,89.77002
Asif Telecom,22.88987,89.77417
Rosni Jewellery And Telecom,22.72498,89.66153
Mukta Telecom,22.88987,89.77417
Amin Telecom,29.68189,76.98635
SOHAG STORE,22.69637,89.75962
Nadim Medical Hall,22.57244,89.95683
RIPON STORE,22.57244,89.95683
Royal Enterprise,22.6579,89.77002
Shuvro Ovro Telecom,22.69637,89.75962
Zeba Cosmatics,22.67374,89.73342
Bidar Store,22.8576,89.75573
Sezan Store,22.88987,89.77417
Jannatul Jarin Hotel,22.72498,89.66153
NEW BOOK CENTER,22.57244,89.95683
SHAMIM TELECOM AND ELECTRONICS,22.57244,89.95683
Safen Telecom,22.29992,89.84794
M/S Tara Medicare,22.88987,89.77417
Jewel Telecom,22.57244,89.95683
Popi Telecom,22.88987,89.77417
Vai Vai Store,22.69637,89.75962
Datta Computer,22.69637,89.75962
M/S New Master Digital Studio,22.70262,89.84244
Gourab Store,22.80177,89.73616
RABAYA TELECOM,22.58893,89.69267
Book Mart,22.6579,89.77002
Shikder Telecom,22.88987,89.77417
Mayar Doa Store,22.57244,89.95683
Mama Vagna Telecom,22.53495,89.86802
Faishal Telecom,22.88987,89.77417
NURUL TELECOM,22.77442,89.71553
Tuhin Enterprise,22.88987,89.77417
NABELA LIBRARY,22.58893,89.69267
JAMAL STORE,22.31333,89.84862
PRONOY STORE,22.58227,89.66661
Tahira Enterprise,22.57244,89.95683
S P Communication,22.69637,89.75962
Sobuj Telecom,22.40899,89.74194
